Original Node,Original Node in HEX,Mutated Node,Mutated Node in HEX
TSTCT,e296bce296a0e296bce2978fe296bc,TSTTT,e296bce296a0e296bce296bce296bc
CDTSC,e2978fe299a6e296bce296a0e2978f,CDTCC,e2978fe299a6e296bce2978fe2978f
TSCDS,e296bce296a0e2978fe299a6e296a0,TSSDS,e296bce296a0e296a0e299a6e296a0
SSTTS,e296a0e296a0e296bce296bce296a0,SSDTS,e296a0e296a0e299a6e296bce296a0
CDDDT,e2978fe299a6e299a6e299a6e296bc,TDDDC,e296bce299a6e299a6e299a6e2978f
DTCCS,e299a6e296bce2978fe2978fe296a0,TCCSD,e296bce2978fe2978fe296a0e299a6
DDDTC,e299a6e299a6e299a6e296bce2978f,SDDTC,e296a0e299a6e299a6e296bce2978f
DCSSC,e299a6e2978fe296a0e296a0e2978f,DCSST,e299a6e2978fe296a0e296a0e296bc
DDSTC,e299a6e299a6e296a0e296bce2978f,DDSDC,e299a6e299a6e296a0e299a6e2978f
SDTTS,e296a0e299a6e296bce296bce296a0,SDTCS,e296a0e299a6e296bce2978fe296a0
DDCTS,e299a6e299a6e2978fe296bce296a0,DDCCS,e299a6e299a6e2978fe2978fe296a0
DTCTT,e299a6e296bce2978fe296bce296bc,DCCTT,e299a6e2978fe2978fe296bce296bc
SCDTD,e296a0e2978fe299a6e296bce299a6,SCDTS,e296a0e2978fe299a6e296bce296a0
CTDTD,e2978fe296bce299a6e296bce299a6,CTDCD,e2978fe296bce299a6e2978fe299a6
DCCTT,e299a6e2978fe2978fe296bce296bc,DCCCT,e299a6e2978fe2978fe2978fe296bc
Dsdtt,e299a6undefinedundefinedundefinedundefined,Tsdtt,e296bcundefinedundefinedundefinedundefined
SCTSD,e296a0e2978fe296bce296a0e299a6,SCCTD,e296a0e2978fe2978fe296bce299a6
TCCTD,e296bce2978fe2978fe296bce299a6,DTCCT,e299a6e296bce2978fe2978fe296bc
CSTTT,e2978fe296a0e296bce296bce296bc,CDTTT,e2978fe299a6e296bce296bce296bc
DTTDC,e299a6e296bce296bce299a6e2978f,CDTTD,e2978fe299a6e296bce296bce299a6
STDDS,e296a0e296bce299a6e299a6e296a0,STDTS,e296a0e296bce299a6e296bce296a0
CTTCD,e2978fe296bce296bce2978fe299a6,CTTSD,e2978fe296bce296bce296a0e299a6
TDCDD,e296bce299a6e2978fe299a6e299a6,TDCSD,e296bce299a6e2978fe296a0e299a6
DTCDS,e299a6e296bce2978fe299a6e296a0,SDTCD,e296a0e299a6e296bce2978fe299a6
DTSTC,e299a6e296bce296a0e296bce2978f,DTSCC,e299a6e296bce296a0e2978fe2978f
TDCCC,e296bce299a6e2978fe2978fe2978f,DSTTT,e299a6e296a0e296bce296bce296bc
CSCDS,e2978fe296a0e2978fe299a6e296a0,CSCDD,e2978fe296a0e2978fe299a6e299a6
SCDSC,e296a0e2978fe299a6e296a0e2978f,CCDCS,e2978fe2978fe299a6e2978fe296a0
DDSDS,e299a6e299a6e296a0e299a6e296a0,DTSDS,e299a6e296bce296a0e299a6e296a0
CDSTS,e2978fe299a6e296a0e296bce296a0,CDSTC,e2978fe299a6e296a0e296bce2978f
DTCSC,e299a6e296bce2978fe296a0e2978f,STCSC,e296a0e296bce2978fe296a0e2978f
TSSDS,e296bce296a0e296a0e299a6e296a0,CSSDS,e2978fe296a0e296a0e299a6e296a0
CTSST,e2978fe296bce296a0e296a0e296bc,TTSST,e296bce296bce296a0e296a0e296bc
SSCSC,e296a0e296a0e2978fe296a0e2978f,CSCSC,e2978fe296a0e2978fe296a0e2978f
CCDTC,e2978fe2978fe299a6e296bce2978f,CTDTC,e2978fe296bce299a6e296bce2978f
Dtdsd,e299a6undefinedundefinedundefinedundefined,Ctdsd,e2978fundefinedundefinedundefinedundefined
DDSTC,e299a6e299a6e296a0e296bce2978f,DDSDC,e299a6e299a6e296a0e299a6e2978f
CTSTD,e2978fe296bce296a0e296bce299a6,TSTDC,e296bce296a0e296bce299a6e2978f
SDDSC,e296a0e299a6e299a6e296a0e2978f,SDSSC,e296a0e299a6e296a0e296a0e2978f
DDTTT,e299a6e299a6e296bce296bce296bc,DDDTT,e299a6e299a6e299a6e296bce296bc
TDCDS,e296bce299a6e2978fe299a6e296a0,STDCD,e296a0e296bce299a6e2978fe299a6
CCDDT,e2978fe2978fe299a6e299a6e296bc,CCSDT,e2978fe2978fe296a0e299a6e296bc
TTDDS,e296bce296bce299a6e299a6e296a0,TCDDS,e296bce2978fe299a6e299a6e296a0
TCCCS,e296bce2978fe2978fe2978fe296a0,CCCCS,e2978fe2978fe2978fe2978fe296a0
CDTTC,e2978fe299a6e296bce296bce2978f,DTTCC,e299a6e296bce296bce2978fe2978f
SDSCS,e296a0e299a6e296a0e2978fe296a0,SSDSC,e296a0e296a0e299a6e296a0e2978f
CTSTS,e2978fe296bce296a0e296bce296a0,TSTSC,e296bce296a0e296bce296a0e2978f
SSTSD,e296a0e296a0e296bce296a0e299a6,DSSTS,e299a6e296a0e296a0e296bce296a0
CTDTD,e2978fe296bce299a6e296bce299a6,CTDCD,e2978fe296bce299a6e2978fe299a6
STSST,e296a0e296bce296a0e296a0e296bc,STSSD,e296a0e296bce296a0e296a0e299a6
SDSDT,e296a0e299a6e296a0e299a6e296bc,SDSDC,e296a0e299a6e296a0e299a6e2978f
CCCSD,e2978fe2978fe2978fe296a0e299a6,TCCSD,e296bce2978fe2978fe296a0e299a6
TCCCS,e296bce2978fe2978fe2978fe296a0,CCCCS,e2978fe2978fe2978fe2978fe296a0
DTDTS,e299a6e296bce299a6e296bce296a0,STDTS,e296a0e296bce299a6e296bce296a0
CTDDD,e2978fe296bce299a6e299a6e299a6,CTDTD,e2978fe296bce299a6e296bce299a6
SSDSS,e296a0e296a0e299a6e296a0e296a0,SSSSS,e296a0e296a0e296a0e296a0e296a0
CSDST,e2978fe296a0e299a6e296a0e296bc,CDDST,e2978fe299a6e299a6e296a0e296bc
DSSTS,e299a6e296a0e296a0e296bce296a0,TSSTS,e296bce296a0e296a0e296bce296a0
CTDCC,e2978fe296bce299a6e2978fe2978f,CTDTC,e2978fe296bce299a6e296bce2978f
TCCDC,e296bce2978fe2978fe299a6e2978f,CDCCT,e2978fe299a6e2978fe2978fe296bc
TCTCD,e296bce2978fe296bce2978fe299a6,TCTCT,e296bce2978fe296bce2978fe296bc
SCSTC,e296a0e2978fe296a0e296bce2978f,SCSTT,e296a0e2978fe296a0e296bce296bc
SCCDT,e296a0e2978fe2978fe299a6e296bc,SCCTT,e296a0e2978fe2978fe296bce296bc
TSCTT,e296bce296a0e2978fe296bce296bc,TSCDT,e296bce296a0e2978fe299a6e296bc
SSDSC,e296a0e296a0e299a6e296a0e2978f,SSSSC,e296a0e296a0e296a0e296a0e2978f
CDTTT,e2978fe299a6e296bce296bce296bc,CDTTT,e2978fe299a6e296bce296bce296bc
DTDDC,e299a6e296bce299a6e299a6e2978f,TDDCD,e296bce299a6e299a6e2978fe299a6
CTDDT,e2978fe296bce299a6e299a6e296bc,TDDTC,e296bce299a6e299a6e296bce2978f
SCTCS,e296a0e2978fe296bce2978fe296a0,SCTCS,e296a0e2978fe296bce2978fe296a0
CSCDS,e2978fe296a0e2978fe299a6e296a0,CSCDD,e2978fe296a0e2978fe299a6e299a6
DDTCC,e299a6e299a6e296bce2978fe2978f,DTCCD,e299a6e296bce2978fe2978fe299a6
TDSSD,e296bce299a6e296a0e296a0e299a6,TSSSD,e296bce296a0e296a0e296a0e299a6
DTTDS,e299a6e296bce296bce299a6e296a0,DTTTS,e299a6e296bce296bce296bce296a0
DTTSD,e299a6e296bce296bce296a0e299a6,DSTTD,e299a6e296a0e296bce296bce299a6
STTTC,e296a0e296bce296bce296bce2978f,CTTTS,e2978fe296bce296bce296bce296a0
TCSTS,e296bce2978fe296a0e296bce296a0,TCSTD,e296bce2978fe296a0e296bce299a6
TDTTD,e296bce299a6e296bce296bce299a6,TDCTD,e296bce299a6e2978fe296bce299a6
SDSSD,e296a0e299a6e296a0e296a0e299a6,SDSCD,e296a0e299a6e296a0e2978fe299a6
CTCSS,e2978fe296bce2978fe296a0e296a0,SCTCS,e296a0e2978fe296bce2978fe296a0
TCSTD,e296bce2978fe296a0e296bce299a6,DTCST,e299a6e296bce2978fe296a0e296bc
TTCCS,e296bce296bce2978fe2978fe296a0,TTTCS,e296bce296bce296bce2978fe296a0
DSCDT,e299a6e296a0e2978fe299a6e296bc,TSCDT,e296bce296a0e2978fe299a6e296bc
TCTCS,e296bce2978fe296bce2978fe296a0,SCTCT,e296a0e2978fe296bce2978fe296bc
STSDD,e296a0e296bce296a0e299a6e299a6,SCSDD,e296a0e2978fe296a0e299a6e299a6
CCDSD,e2978fe2978fe299a6e296a0e299a6,CCTSD,e2978fe2978fe296bce296a0e299a6
DSCTC,e299a6e296a0e2978fe296bce2978f,DSCTS,e299a6e296a0e2978fe296bce296a0
SSTST,e296a0e296a0e296bce296a0e296bc,SDTST,e296a0e299a6e296bce296a0e296bc
SDTDD,e296a0e299a6e296bce299a6e299a6,SDTSD,e296a0e299a6e296bce296a0e299a6
CDDDS,e2978fe299a6e299a6e299a6e296a0,SCDDD,e296a0e2978fe299a6e299a6e299a6
SSTDD,e296a0e296a0e296bce299a6e299a6,SSDDD,e296a0e296a0e299a6e299a6e299a6
STTSD,e296a0e296bce296bce296a0e299a6,STDSD,e296a0e296bce299a6e296a0e299a6
CSDCD,e2978fe296a0e299a6e2978fe299a6,DCDSC,e299a6e2978fe299a6e296a0e2978f
STCSC,e296a0e296bce2978fe296a0e2978f,STCSS,e296a0e296bce2978fe296a0e296a0
CSCTS,e2978fe296a0e2978fe296bce296a0,SCSCT,e296a0e2978fe296a0e2978fe296bc
DCSDC,e299a6e2978fe296a0e299a6e2978f,DCDDC,e299a6e2978fe299a6e299a6e2978f
TTDTS,e296bce296bce299a6e296bce296a0,STDTT,e296a0e296bce299a6e296bce296bc
CCSDS,e2978fe2978fe296a0e299a6e296a0,CCSDC,e2978fe2978fe296a0e299a6e2978f
SSSDT,e296a0e296a0e296a0e299a6e296bc,SDSDT,e296a0e299a6e296a0e299a6e296bc
TCTTT,e296bce2978fe296bce296bce296bc,CCTTT,e2978fe2978fe296bce296bce296bc
SSSDC,e296a0e296a0e296a0e299a6e2978f,SSSSC,e296a0e296a0e296a0e296a0e2978f
TTTTC,e296bce296bce296bce296bce2978f,CTTTT,e2978fe296bce296bce296bce296bc
DTTCS,e299a6e296bce296bce2978fe296a0,DTTCC,e299a6e296bce296bce2978fe2978f
DDCST,e299a6e299a6e2978fe296a0e296bc,DDTST,e299a6e299a6e296bce296a0e296bc
TCDST,e296bce2978fe299a6e296a0e296bc,TSDCT,e296bce296a0e299a6e2978fe296bc
SCSSD,e296a0e2978fe296a0e296a0e299a6,CSSDS,e2978fe296a0e296a0e299a6e296a0
STSCC,e296a0e296bce296a0e2978fe2978f,CDCTT,e2978fe299a6e2978fe296bce296bc
SSDTC,e296a0e296a0e299a6e296bce2978f,CSDTC,e2978fe296a0e299a6e296bce2978f
CSDCC,e2978fe296a0e299a6e2978fe2978f,CCSDC,e2978fe2978fe296a0e299a6e2978f
SDCSD,e296a0e299a6e2978fe296a0e299a6,DSCDS,e299a6e296a0e2978fe299a6e296a0
TSDSS,e296bce296a0e299a6e296a0e296a0,SDSST,e296a0e299a6e296a0e296a0e296bc
STCSS,e296a0e296bce2978fe296a0e296a0,SCCSS,e296a0e2978fe2978fe296a0e296a0
CCTTD,e2978fe2978fe296bce296bce299a6,CCCTD,e2978fe2978fe2978fe296bce299a6
SCTTC,e296a0e2978fe296bce296bce2978f,SCTTT,e296a0e2978fe296bce296bce296bc
DSTDS,e299a6e296a0e296bce299a6e296a0,SSTDS,e296a0e296a0e296bce299a6e296a0
CSCSD,e2978fe296a0e2978fe296a0e299a6,CSCDD,e2978fe296a0e2978fe299a6e299a6
DDSCD,e299a6e299a6e296a0e2978fe299a6,DDSCS,e299a6e299a6e296a0e2978fe296a0
TTCST,e296bce296bce2978fe296a0e296bc,CTCST,e2978fe296bce2978fe296a0e296bc
CCDSC,e2978fe2978fe299a6e296a0e2978f,CCSSC,e2978fe2978fe296a0e296a0e2978f
CTSCD,e2978fe296bce296a0e2978fe299a6,DCSTC,e299a6e2978fe296a0e296bce2978f
CSDSS,e2978fe296a0e299a6e296a0e296a0,CSDCS,e2978fe296a0e299a6e2978fe296a0
DTDTT,e299a6e296bce299a6e296bce296bc,TCTCC,e296bce2978fe296bce2978fe2978f
CDTTD,e2978fe299a6e296bce296bce299a6,CDTDD,e2978fe299a6e296bce299a6e299a6
STDST,e296a0e296bce299a6e296a0e296bc,STDSD,e296a0e296bce299a6e296a0e299a6
CTSTD,e2978fe296bce296a0e296bce299a6,TSTDC,e296bce296a0e296bce299a6e2978f
TTCCT,e296bce296bce2978fe2978fe296bc,TCCTT,e296bce2978fe2978fe296bce296bc
DCCDD,e299a6e2978fe2978fe299a6e299a6,DCSDD,e299a6e2978fe296a0e299a6e299a6
CSSTS,e2978fe296a0e296a0e296bce296a0,CCSTS,e2978fe2978fe296a0e296bce296a0
DCSCS,e299a6e2978fe296a0e2978fe296a0,SCSCD,e296a0e2978fe296a0e2978fe299a6
CDSCD,e2978fe299a6e296a0e2978fe299a6,CDSTD,e2978fe299a6e296a0e296bce299a6
DTDST,e299a6e296bce299a6e296a0e296bc,STDST,e296a0e296bce299a6e296a0e296bc
CCTTD,e2978fe2978fe296bce296bce299a6,CCDTD,e2978fe2978fe299a6e296bce299a6
DTSTT,e299a6e296bce296a0e296bce296bc,DTSTT,e299a6e296bce296a0e296bce296bc
DDDST,e299a6e299a6e299a6e296a0e296bc,DDTST,e299a6e299a6e296bce296a0e296bc
SDDTS,e296a0e299a6e299a6e296bce296a0,SDDTC,e296a0e299a6e299a6e296bce2978f
CCDSC,e2978fe2978fe299a6e296a0e2978f,CCSSC,e2978fe2978fe296a0e296a0e2978f
CCTDC,e2978fe2978fe296bce299a6e2978f,CCDDC,e2978fe2978fe299a6e299a6e2978f
TCSTT,e296bce2978fe296a0e296bce296bc,TTCTT,e296bce296bce2978fe296bce296bc
STDTT,e296a0e296bce299a6e296bce296bc,DCTCC,e299a6e2978fe296bce2978fe2978f
TCTTTS,e296bce2978fe296bce296bce296bce296a0,TCTCS,e296bce2978fe296bce2978fe296a0
TDTSD,e296bce299a6e296bce296a0e299a6,TDTST,e296bce299a6e296bce296a0e296bc
CTSST,e2978fe296bce296a0e296a0e296bc,STCCC,e296a0e296bce2978fe2978fe2978f
SDCSC,e296a0e299a6e2978fe296a0e2978f,DTSDS,e299a6e296bce296a0e299a6e296a0
DDSTS,e299a6e299a6e296a0e296bce296a0,SDSTS,e296a0e299a6e296a0e296bce296a0
CCTDD,e2978fe2978fe296bce299a6e299a6,TCTDD,e296bce2978fe296bce299a6e299a6
CCDCC,e2978fe2978fe299a6e2978fe2978f,CSDCC,e2978fe296a0e299a6e2978fe2978f
CDSTT,e2978fe299a6e296a0e296bce296bc,CDSTC,e2978fe299a6e296a0e296bce2978f
SSCCC,e296a0e296a0e2978fe2978fe2978f,SCCCS,e296a0e2978fe2978fe2978fe296a0
DDCCT,e299a6e299a6e2978fe2978fe296bc,TDDCC,e296bce299a6e299a6e2978fe2978f
DSTSS,e299a6e296a0e296bce296a0e296a0,DSTDS,e299a6e296a0e296bce299a6e296a0
DDTDD,e299a6e299a6e296bce299a6e299a6,DTTDD,e299a6e296bce296bce299a6e299a6
TDTCC,e296bce299a6e296bce2978fe2978f,TTTCC,e296bce296bce296bce2978fe2978f
TDSDT,e296bce299a6e296a0e299a6e296bc,TTDSD,e296bce296bce299a6e296a0e299a6
SCDDD,e296a0e2978fe299a6e299a6e299a6,CDSSS,e2978fe299a6e296a0e296a0e296a0
CSSSS,e2978fe296a0e296a0e296a0e296a0,SSSSS,e296a0e296a0e296a0e296a0e296a0
TCCCS,e296bce2978fe2978fe2978fe296a0,CCCCS,e2978fe2978fe2978fe2978fe296a0
CTTSC,e2978fe296bce296bce296a0e2978f,TTTSC,e296bce296bce296bce296a0e2978f
DCSCD,e299a6e2978fe296a0e2978fe299a6,DCDCT,e299a6e2978fe299a6e2978fe296bc
DDCCC,e299a6e299a6e2978fe2978fe2978f,DTCCC,e299a6e296bce2978fe2978fe2978f
DDSTT,e299a6e299a6e296a0e296bce296bc,DDSTS,e299a6e299a6e296a0e296bce296a0
TSDDT,e296bce296a0e299a6e299a6e296bc,TCDDT,e296bce2978fe299a6e299a6e296bc
CSDSD,e2978fe296a0e299a6e296a0e299a6,DSDSC,e299a6e296a0e299a6e296a0e2978f
DDCDS,e299a6e299a6e2978fe299a6e296a0,SDCDS,e296a0e299a6e2978fe299a6e296a0
SCDDD,e296a0e2978fe299a6e299a6e299a6,Sctdd,e296a0undefinedundefinedundefinedundefined
SDCTS,e296a0e299a6e2978fe296bce296a0,DDCTS,e299a6e299a6e2978fe296bce296a0
STCCS,e296a0e296bce2978fe2978fe296a0,STTCS,e296a0e296bce296bce2978fe296a0
DTTDT,e299a6e296bce296bce299a6e296bc,DTDDT,e299a6e296bce299a6e299a6e296bc
CTDSD,e2978fe296bce299a6e296a0e299a6,CDDSD,e2978fe299a6e299a6e296a0e299a6
SSDDD,e296a0e296a0e299a6e299a6e299a6,SSDDS,e296a0e296a0e299a6e299a6e296a0
CSTTD,e2978fe296a0e296bce296bce299a6,SDCCT,e296a0e299a6e2978fe2978fe296bc
